"Country";"item_date_published";"num.newspaper";"num.feeds";"av.sents";"num.news"
"81";"Deutschland";2019-10-08;230;2140;-0.00406796516231751;12157
"82";"Deutschland";2019-10-09;237;2133;-0.00295451515689225;12122
"83";"Deutschland";2019-10-10;236;2072;-0.00618720623115;10682
"84";"Deutschland";2019-10-11;235;2143;0.0272841097167856;11531
"85";"Deutschland";2019-10-12;226;1763;-0.00648681195191668;6400
"86";"Deutschland";2019-10-13;187;979;-0.0337159742705444;2460
"87";"Deutschland";2019-10-14;236;2181;-0.00945120172041343;15908
"88";"Deutschland";2019-10-15;231;2121;-0.0262619449955555;10951
"89";"Deutschland";2019-10-16;237;2238;-0.0182002777707257;19325
"90";"Deutschland";2019-10-17;235;2156;-0.00958179668119647;11782
"91";"Deutschland";2019-10-18;236;2172;0.00797730518348805;13296
"92";"Deutschland";2019-10-19;226;1972;-0.0217718977030622;11407
"93";"Deutschland";2019-10-20;217;1621;-0.0125810798117835;6719
"94";"Deutschland";2019-10-21;236;2164;-0.0243874764461747;14792
"95";"Deutschland";2019-10-22;232;2152;-0.0170598528031062;12063
"96";"Deutschland";2019-10-23;232;2018;-0.00989030638941217;10509
"97";"Deutschland";2019-10-24;235;2176;0.00458622192405006;14603
"98";"Deutschland";2019-10-25;228;2022;-0.0106598333197258;10452
"99";"Deutschland";2019-10-26;227;2062;-0.0140858272574066;12308
"100";"Deutschland";2019-10-27;210;1423;-0.015811817028432;4894
"101";"Deutschland";2019-10-28;235;2095;-0.0100267680299247;12939
"102";"Deutschland";2019-10-29;235;2123;-0.0186159913546137;12112
"103";"Deutschland";2019-10-30;227;2091;-0.0132637480667259;11737
"104";"Deutschland";2019-10-31;224;1957;-0.0219252932152378;9670
"105";"Deutschland";2019-11-01;219;1783;-0.0168438179223044;8368
"106";"Deutschland";2019-11-02;221;1847;-0.0163329601472069;10128
"107";"Deutschland";2019-11-03;208;1445;-0.0586310595692305;5390
"108";"Deutschland";2019-11-04;227;2073;0.00659790432736381;11229
"109";"Deutschland";2019-11-05;227;2072;-0.0245602466422796;11914
"110";"Deutschland";2019-11-06;230;2106;-0.00761597187474197;13741
"111";"Deutschland";2019-11-07;229;2070;0.0214797638070943;11486
"112";"Deutschland";2019-11-08;228;2101;-0.00904789275654942;14092
"113";"Deutschland";2019-11-09;221;2056;0.00403745676542837;11819
"114";"Deutschland";2019-11-10;198;1361;-0.0437436188453928;4420
"115";"Deutschland";2019-11-11;228;2025;-0.0161023597900816;11436
"116";"Deutschland";2019-11-12;228;2155;0.00475103349702161;14581
"117";"Deutschland";2019-11-13;227;2092;0.0138343048220396;10934
"118";"Deutschland";2019-11-14;228;2146;0.00270848256907298;17628
"119";"Deutschland";2019-11-15;229;2130;0.00916479149155949;13293
"120";"Deutschland";2019-11-16;214;1759;-0.000244860703801541;7486
"121";"Deutschland";2019-11-17;211;1553;-0.0150669104628729;7476
"122";"Deutschland";2019-11-18;229;2074;-0.0022789503437555;13479
"123";"Deutschland";2019-11-19;219;1717;-0.0176398427753357;6248
"124";"Deutschland";2019-11-20;227;2174;-0.000319107949934892;19198
"125";"Deutschland";2019-11-21;230;2060;-0.0174976207762522;13091
"126";"Deutschland";2019-11-22;226;2081;0.00148429185436095;13264
"127";"Deutschland";2019-11-23;218;1777;0.00203300866798718;7557
"128";"Deutschland";2019-11-24;215;1594;-0.00249607867320025;8245
"129";"Deutschland";2019-11-25;227;2056;0.0102145803314552;12926
"130";"Deutschland";2019-11-26;229;2102;0.0107403629193732;14041
"131";"Deutschland";2019-11-27;228;2092;0.0170675560188901;13563
"132";"Deutschland";2019-11-28;229;2374;0.0124574065468831;15145
"133";"Deutschland";2019-11-29;229;2104;0.0129769573241059;13690
"134";"Deutschland";2019-11-30;211;1710;-0.00297955422290681;7499
"135";"Deutschland";2019-12-01;210;1611;0.0119022241532492;7709
"136";"Deutschland";2019-12-02;215;1665;0.0268773408284486;5173
"137";"Deutschland";2019-12-03;231;2184;0.038677435439255;15567
"138";"Deutschland";2019-12-04;227;2104;0.036857648506228;13344
"139";"Deutschland";2019-12-05;229;2105;0.00508099970897325;13040
"140";"Deutschland";2019-12-06;230;2087;0.0129057012080971;13039
"141";"Deutschland";2019-12-07;212;1705;0.000846427048886922;7272
"142";"Deutschland";2019-12-08;204;1554;-0.000345276211851561;7353
"143";"Deutschland";2019-12-09;230;2073;0.0092122090862081;13654
"144";"Deutschland";2019-12-10;225;2079;-0.0234105016436154;13331
"145";"Deutschland";2019-12-11;228;2107;0.0291263708151542;13349
"146";"Deutschland";2019-12-12;230;2099;0.032881221018023;16057
"147";"Deutschland";2019-12-13;231;2096;0.0344153608747646;13187
"148";"Deutschland";2019-12-14;221;1709;-0.0113141573372453;7532
"149";"Deutschland";2019-12-15;208;1544;-0.0141515488442391;7758
"150";"Deutschland";2019-12-16;229;2003;0.0277323931088603;13242
"151";"Deutschland";2019-12-17;228;2097;-0.00521782260034291;13440
"152";"Deutschland";2019-12-18;228;2100;0.00621704285565014;13064
"153";"Deutschland";2019-12-19;229;2095;-0.000365518872453094;13086
"154";"Deutschland";2019-12-20;230;2100;0.0152737795463668;13273
"155";"Deutschland";2019-12-21;210;1706;-0.00435489954320214;7159
"156";"Deutschland";2019-12-22;208;1541;0.010780495755387;7392
"157";"Deutschland";2019-12-23;223;1960;0.003384459267762;11528
"158";"Deutschland";2019-12-24;217;1662;0.0568619874960822;6689
"159";"Deutschland";2019-12-25;187;1068;-0.0162772121698784;3372
"160";"Deutschland";2019-12-26;207;1486;0.0057210815576157;6232
"161";"Deutschland";2019-12-27;228;1960;0.0231919658232773;10844
"162";"Deutschland";2019-12-28;211;1647;0.00507498729601492;6497
"163";"Deutschland";2019-12-29;207;1527;0.00934996444438835;6529
"164";"Deutschland";2019-12-30;223;1960;0.0233603455636841;10746
"165";"Deutschland";2019-12-31;212;1635;0.0283387831745775;6562
"166";"Deutschland";2020-01-01;206;1440;-0.0177736837061003;5895
"167";"Deutschland";2020-01-02;224;1964;0.0301846996168678;11057
"168";"Deutschland";2020-01-03;226;1991;0.0165981405367287;11987
"169";"Deutschland";2020-01-04;212;1607;0.0123888237357448;6372
"170";"Deutschland";2020-01-05;197;1322;-0.043986812035541;5389
"171";"Deutschland";2020-01-06;218;1840;-0.0170661972798821;10248
"172";"Deutschland";2020-01-07;227;2036;0.00501370843533136;12562
"173";"Deutschland";2020-01-08;227;2039;-0.0114330847983478;12554
"174";"Deutschland";2020-01-09;230;2063;-0.0213650537912067;12596
"175";"Deutschland";2020-01-10;227;2026;-0.00623990556399278;12733
"176";"Deutschland";2020-01-11;212;1656;-0.006305962054284;7228
"177";"Deutschland";2020-01-12;207;1545;-0.0124814329098993;8020
"178";"Deutschland";2020-01-13;230;2038;0.00228226935249373;12676
"179";"Deutschland";2020-01-14;226;2096;0.0167155101717239;13140
"180";"Deutschland";2020-01-15;226;2052;-0.00134786153083458;13200
"181";"Deutschland";2020-01-16;227;2049;0.011405376239695;13188
"182";"Deutschland";2020-01-17;224;2050;0.00388548022400518;11397
"183";"Deutschland";2020-01-18;211;1683;0.0112392907300178;7770
"184";"Deutschland";2020-01-19;206;1619;0.0106671287844899;7661
"185";"Deutschland";2020-01-20;227;2062;0.00646487226191011;12683
"186";"Deutschland";2020-01-21;226;2093;-0.00128152639533116;13503
"187";"Deutschland";2020-01-22;228;2068;0.00667407263027198;12709
"188";"Deutschland";2020-01-23;227;2062;-0.0178195247563528;13120
"189";"Deutschland";2020-01-24;225;2084;-0.00159838746511625;13285
"190";"Deutschland";2020-01-25;210;1682;-0.0161175322555865;7109
"191";"Deutschland";2020-01-26;208;1613;0.00193655656598919;8123
"192";"Deutschland";2020-01-27;229;2045;-0.013354724103837;12741
"193";"Deutschland";2020-01-28;227;2083;0.0302969137526967;13169
"194";"Deutschland";2020-01-29;226;2033;0.0481247832611612;13006
"195";"Deutschland";2020-01-30;229;2078;-0.0033626385469764;13471
"196";"Deutschland";2020-01-31;228;2072;0.0124499624239769;13226
"197";"Deutschland";2020-02-01;213;1680;-0.0100900344619835;7022
"198";"Deutschland";2020-02-02;211;1596;0.000416788431360197;7936
"199";"Deutschland";2020-02-03;226;2055;-0.0340411163256276;12517
"200";"Deutschland";2020-02-04;227;2067;-0.0125821961331219;12633
"201";"Deutschland";2020-02-05;229;2065;-0.0164588954693096;13358
"202";"Deutschland";2020-02-06;224;1849;-0.00802470424237643;6159
"203";"Deutschland";2020-02-07;77;369;0.151759847428699;860
"204";"Deutschland";2020-02-08;58;176;-0.0305260509625053;334
"205";"Deutschland";2020-02-09;228;2140;-0.00111535560835087;22454
"206";"Deutschland";2020-02-10;228;2134;-0.0170062405936026;15420
"207";"Deutschland";2020-02-11;229;2112;-0.0102944082610021;13975
"208";"Deutschland";2020-02-12;223;1910;0.0186551547369106;6615
"209";"Deutschland";2020-02-13;96;670;0.117360203842185;1723
"210";"Deutschland";2020-02-14;231;2129;-0.00916543539102562;24802
"211";"Deutschland";2020-02-15;214;1587;-0.0301268578667516;7185
"212";"Deutschland";2020-02-16;208;1772;-0.0285170339749392;7550
"213";"Deutschland";2020-02-17;230;2100;-0.0226159791198817;13387
"214";"Deutschland";2020-02-18;226;2067;0.00481516046942623;13687
"215";"Deutschland";2020-02-19;225;2094;0.0014710183296535;13507
"216";"Deutschland";2020-02-20;227;2021;-0.0117640808119724;10104
"217";"Deutschland";2020-02-21;227;2067;-0.0200794725622596;16500
"218";"Deutschland";2020-02-22;199;1365;-0.0375176198060206;5560
"219";"Deutschland";2020-02-23;210;1879;-0.0139475373730732;8978
"220";"Deutschland";2020-02-24;221;2039;-0.0132775819048075;11883
"221";"Deutschland";2020-02-25;223;2042;-0.0232370112364084;12669
"222";"Deutschland";2020-02-26;228;2046;-0.0065213383065041;12784
"223";"Deutschland";2020-02-27;228;2056;0.00741712120182357;12955
"224";"Deutschland";2020-02-28;223;2015;-0.0260720987670599;11244
"225";"Deutschland";2020-02-29;196;1377;-0.0244864866255552;5816
"226";"Deutschland";2020-03-01;212;1863;-0.00680319628005881;8843
"227";"Deutschland";2020-03-02;223;2021;-0.0186889368847998;12255
"228";"Deutschland";2020-03-03;221;2069;0.00686589531382886;13183
"229";"Deutschland";2020-03-04;217;2040;0.00149981515638692;13029
"230";"Deutschland";2020-03-05;227;2089;-0.00970081265381849;13193
"231";"Deutschland";2020-03-06;224;2012;0.00177491758145848;12873
"232";"Deutschland";2020-03-07;198;1351;-0.0293551675970149;5675
"233";"Deutschland";2020-03-08;204;1849;-0.00817472866485771;8700
"234";"Deutschland";2020-03-09;223;2026;-0.0293851054748168;12694
"235";"Deutschland";2020-03-10;221;2057;-0.0169990931608227;13281
"236";"Deutschland";2020-03-11;222;2048;-0.0395695727605948;13114
"237";"Deutschland";2020-03-12;221;2034;-0.0483147123096123;13255
"238";"Deutschland";2020-03-13;223;2009;-0.0248645862843205;12997
"239";"Deutschland";2020-03-14;201;1343;-0.0143281967692852;5270
"240";"Deutschland";2020-03-15;203;1772;-0.0281490529373742;7732
"241";"Deutschland";2020-03-16;221;2021;-0.0224626986543507;13029
"242";"Deutschland";2020-03-17;221;1973;-0.0247011891337227;12517
"243";"Deutschland";2020-03-18;220;1972;-0.033495975525219;12353
"244";"Deutschland";2020-03-19;221;1997;-0.0297813208658278;12263
"245";"Deutschland";2020-03-20;223;1928;-0.0132802542771047;12362
"246";"Deutschland";2020-03-21;201;1354;-0.0212143703960453;4789
"247";"Deutschland";2020-03-22;212;1779;-0.0243292213722103;7475
"248";"Deutschland";2020-03-23;220;1946;-0.0161178467148119;11391
"249";"Deutschland";2020-03-24;221;1937;-0.00726463363774081;11276
"250";"Deutschland";2020-03-25;221;1955;-0.0231438830370287;10462
"251";"Deutschland";2020-03-26;222;1997;-0.012003722710372;12259
"252";"Deutschland";2020-03-27;223;1972;-0.00193025165832842;11901
"253";"Deutschland";2020-03-28;199;1355;-0.0257763996981748;5551
"254";"Deutschland";2020-03-29;205;1707;-0.0688514284081383;8307
"255";"Deutschland";2020-03-30;221;1951;-0.0250800625489021;11142
"256";"Deutschland";2020-03-31;221;1942;-0.0203794303832348;11344
"257";"Deutschland";2020-04-01;218;1910;-0.00834645000947936;9859
"258";"Deutschland";2020-04-02;219;1952;-0.0352440995030327;11760
"259";"Deutschland";2020-04-03;221;1933;-0.0117403723401775;10473
"260";"Deutschland";2020-04-04;196;1330;-0.0264216820917575;5205
"261";"Deutschland";2020-04-05;206;1725;-0.0327765833084727;7337
"262";"Deutschland";2020-04-06;222;1947;-0.0211829817230985;10819
"263";"Deutschland";2020-04-07;221;1938;-0.00693986363873875;10110
"264";"Deutschland";2020-04-08;220;1980;-0.0114796933296679;11621
"265";"Deutschland";2020-04-09;213;1609;-0.0111115994004853;8414
"266";"Deutschland";2020-04-10;208;1684;-0.0151252838765061;7395
"267";"Deutschland";2020-04-11;191;1285;0.00349414118617171;4883
"268";"Deutschland";2020-04-12;189;1168;-0.0418753673364094;3944
"269";"Deutschland";2020-04-13;209;1746;-0.00741315641702632;7313
"270";"Deutschland";2020-04-14;219;1950;-0.0102445402823745;11682
"271";"Deutschland";2020-04-15;221;1928;-0.0203124222205974;12627
"272";"Deutschland";2020-04-16;223;1975;-0.0252100500865321;11290
"273";"Deutschland";2020-04-17;222;1930;-0.00656048267993206;11403
"274";"Deutschland";2020-04-18;201;1342;-0.0170555048587732;4920
"275";"Deutschland";2020-04-19;211;1763;-0.0207374131768889;6985
"276";"Deutschland";2020-04-20;219;1946;-0.00819144037976853;9650
"277";"Deutschland";2020-04-21;219;1967;-0.0407531389162661;11773
"278";"Deutschland";2020-04-22;218;1947;-0.0104860180420347;11619
"279";"Deutschland";2020-04-23;221;1945;-0.01595240807002;12646
"280";"Deutschland";2020-04-24;222;1964;-0.0432911052740849;12173
"281";"Deutschland";2020-04-25;198;1281;-0.0514486363373135;4877
"282";"Deutschland";2020-04-26;208;1768;-0.0341156452632245;7425
"283";"Deutschland";2020-04-27;219;1904;-0.0155202946161446;10740
"284";"Deutschland";2020-04-28;217;1938;-0.0199359157708965;10157
"285";"Deutschland";2020-04-29;216;1940;-0.0281425020121974;11486
"286";"Deutschland";2020-04-30;211;1651;-0.00473164135279495;9277
"287";"Deutschland";2020-05-01;205;1689;-0.0503619379846061;7538
"288";"Deutschland";2020-05-02;194;1281;-0.0306732824206304;5313
"289";"Deutschland";2020-05-03;204;1716;-0.0468081101842907;7330
"290";"Deutschland";2020-05-04;219;1927;-0.0189696168584975;11223
"291";"Deutschland";2020-05-05;218;1929;-0.0068384232371595;11522
"292";"Deutschland";2020-05-06;218;1932;-0.000168907136034431;11328
