ROR1217;NAME;ROR1217_0;SHAPE_LENG;SHAPE_AREA;NUTS_ID;LEVL_CODE;CNTR_CODE;NAME_LATN;NUTS_NAME;MOUNT_TYPE;URBN_TYPE;COAST_TYPE;FID;CPU
1201;Havelland-Fläming;1201;499066.735668;6823888371.13;;;;;;;;;
1202;Lausitz-Spreewald;1202;609952.654691;7221663210.65;;;;;;;;;
1203;Oderland-Spree;1203;399025.664635;4556132424.77;;;;;;;;;
1204;Prignitz-Oberhavel;1204;518461.424657;6453749232.38;;;;;;;;;
1205;Uckermark-Barnim;1205;451624.986934;4559824354.45;;;;;;;;;
1301;Mecklenburgische Seenplatte;1301;423272.127659;5492206573.34;;;;;;;;;
1302;Mittleres Mecklenburg/Rostock;1302;333046.125048;3617721152.08;;;;;;;;;
1303;Vorpommern;1303;1337063.3651;6980971680.51;;;;;;;;;
1304;Westmecklenburg;1304;528368.380499;7013516300.52;;;;;;;;;
1401;Oberes Elbtal/Osterzgebirge;1401;363846.518444;3415350224.89;;;;;;;;;
1402;Oberlausitz-Niederschlesien;1402;355608.747779;4499952308.92;;;;;;;;;
1403;Südsachsen;1403;546126.432361;6549744767.32;;;;;;;;;
1404;Westsachsen;1404;321283.566069;3965442431.13;;;;;;;;;
1501;Altmark;1501;375373.319942;4726452966.84;;;;;;;;;
1502;Anhalt-Bitterfeld-Wittenberg;1502;324983.955853;3638445994.98;;;;;;;;;
1503;Halle/S.;1503;400108.374789;4437941689.22;;;;;;;;;
1504;Magdeburg;1504;570798.910851;7709725370.47;;;;;;;;;
1601;Mittelthüringen;1601;378506.57738;3723458304.97;;;;;;;;;
1602;Nordthüringen;1602;374409.340584;3669620891.84;;;;;;;;;
1603;Ostthüringen;1603;513334.541295;4692989562.56;;;;;;;;;
1604;Südthüringen;1604;546634.615209;4083626080.89;;;;;;;;;
;;;;;LI;0;LI;Liechtenstein;Liechtenstein;0;;;LI
;;;;;AT;0;AT;Österreich;Österreich;0;;;AT
;;;;;CH;0;CH;Schweiz/Suisse/Svizzera;Schweiz/Suisse/Svizzera;0;;;CH
